epoch,train_mse,validation_mse,post_update_train_mse
1,0.1517765063048665,0.07862736928885466,0.12749937341629575
25,0.009012028414098669,0.0252641187641007,0.00838073397708302
100,0.0012914382086734117,0.005490918863171005,0.0012778083686655118
400,0.0001303170500437651,0.0007892991355557108,0.00013010943114154136
