fd_step,finite_difference,autograd,analytic,absolute_error
0.01,-0.3395166517479731,-0.33950617283949214,-0.3395061728395104,1.0478908462674408e-05
0.0031622776601683794,-0.3395072207012844,-0.33950617283949214,-0.3395061728395104,1.047861774017278e-06
0.001,-0.33950627762269203,-0.33950617283949214,-0.3395061728395104,1.047831816314293e-07
0.00031622776601683794,-0.33950618333091914,-0.33950617283949214,-0.3395061728395104,1.0491408741764019e-08
0.0001,-0.3395061739142058,-0.33950617283949214,-0.3395061728395104,1.0746953882367904e-09
3.1622776601683795e-05,-0.3395061731159736,-0.33950617283949214,-0.3395061728395104,2.764631856777555e-10
1e-05,-0.3395061724476011,-0.33950617283949214,-0.3395061728395104,3.9190928280419257e-10
3.162277660168379e-06,-0.3395061749925141,-0.33950617283949214,-0.3395061728395104,2.1530037197514673e-09
1e-06,-0.3395061727862192,-0.33950617283949214,-0.3395061728395104,5.3291204782368595e-11
3.162277660168379e-07,-0.3395061940914482,-0.33950617283949214,-0.3395061728395104,2.1251937820654376e-08
1e-07,-0.33950619926503833,-0.33950617283949214,-0.3395061728395104,2.6425527932527615e-08
3.162277660168379e-08,-0.33950617337753075,-0.33950617283949214,-0.3395061728395104,5.3802035049344e-10
1e-08,-0.33950616762368213,-0.33950617283949214,-0.3395061728395104,5.2158282692893465e-09
